date,max_temp,min_temp,avg_temp
2026-02-19,32.0,19.0,25.5
2026-02-20,32.1,18.5,25.3
2026-02-21,32.8,19.6,26.2
2026-02-22,33.2,20.3,26.75
2026-02-23,31.1,21.3,26.200000000000003
2026-02-24,29.9,20.5,25.2
2026-02-25,30.5,20.8,25.65
2026-02-26,30.7,20.6,25.65
